text,drug,effect,indexes,label
"After seven months' continuous treatment for suspected tuberculosis with rifampicin and ethambutol a nine-year-old boy developed polyarthritis, rash and hepatitis in association with anti-native DNA antibodies and positive antinuclear factor.",rifampicin,rash,0,0
"In this report, one patient who developed gangrene after bleomycin and vincristine/vinblastine chemotherapy for AIDS-related Kaposi's sarcoma and another HIV-infected patient who exhibited symptoms of severe Raynaud's phenomenon related to the same regimen are presented.",bleomycin,gangrene,"{'drug': {'start_char': array([57], dtype=int32), 'end_char': array([66], dtype=int32)}, 'effect': {'start_char': array([42], dtype=int32), 'end_char': array([50], dtype=int32)}}",1
"In this report, a patient who had undergone a renal transplantation as a result of malignant hypertension, and who was on immunosuppressive therapy consisting of cyclosporin, prednisone and azathioprine, developed thrombosis of the central retinal vein 5 years following the transplantation.",cyclosporin,hypertension,0,0
"After seven months' continuous treatment for suspected tuberculosis with rifampicin and ethambutol a nine-year-old boy developed polyarthritis, rash and hepatitis in association with anti-native DNA antibodies and positive antinuclear factor.",rifampicin,polyarthritis,0,0
"The current report describes a man who was prescribed zonisamide for epilepsy and subsequently developed widespread skin rash, acute kidney injury, high-grade fever, eosinophilia, liver dysfunction, lymphadenopathy and an increase in antihuman herpesvirus-6 immunoglobulin G titer.",immunoglobulin,lymphadenopathy,0,0
"Clinicians who manage cachectic patients, particularly those with protracted diarrhoea and/or receiving anti-malarial drugs including mefloquine, should be aware of the risk of severe hypoglycaemia.",mefloquine,severe hypoglycaemia,"{'drug': {'start_char': array([134], dtype=int32), 'end_char': array([144], dtype=int32)}, 'effect': {'start_char': array([177], dtype=int32), 'end_char': array([197], dtype=int32)}}",1
"After seven months' continuous treatment for suspected tuberculosis with rifampicin and ethambutol a nine-year-old boy developed polyarthritis, rash and hepatitis in association with anti-native DNA antibodies and positive antinuclear factor.",rifampicin,tuberculosis,0,0
"Hyperkalaemia with renal tubular dysfunction by oral therapy of sulfamethoxazole-trimethoprim (co-trimoxazole) is described in 2 elderly Japanese patients with lymphoid malignancy, who developed Pneumocystis carinii pneumonia and improved.",trimethoprim,pneumonia,0,0
We report three cases of amiodarone-induced torsades de pointe.,amiodarone,torsades de pointe,"{'drug': {'start_char': array([25], dtype=int32), 'end_char': array([35], dtype=int32)}, 'effect': {'start_char': array([44], dtype=int32), 'end_char': array([62], dtype=int32)}}",1
"Serious phenytoin hypersensitivity reactions may appear as dermatologic, lymphoid, or hepatic syndromes.",phenytoin,"dermatologic, lymphoid, or hepatic syndromes","{'drug': {'start_char': array([8], dtype=int32), 'end_char': array([17], dtype=int32)}, 'effect': {'start_char': array([59], dtype=int32), 'end_char': array([103], dtype=int32)}}",1
Acute renal failure during lisinopril and losartan therapy for proteinuria.,lisinopril,proteinuria,0,0
The case is presented of a 72-year-old man with hormone-refractory prostate cancer and weekly administration of 30 mg/m2 docetaxel who developed subacute interstitial pneumonitis-related pulmonary fibrosis after seven doses and died despite mechanical ventilation and high-dose corticosteroid treatment.,corticosteroid,died,0,0
"After 5 days of treatment with IL-2, the patient developed a hemorrhagic lesion that progressed to toxic epidermal necrolysis, as well as grade 4 pancytopenia.",IL-2,toxic epidermal necrolysis,"{'drug': {'start_char': array([31], dtype=int32), 'end_char': array([35], dtype=int32)}, 'effect': {'start_char': array([99], dtype=int32), 'end_char': array([125], dtype=int32)}}",1
Hydroxyurea (HU) and sodium phenylbutyrate (SPB) have been shown to increase fetal hemoglobin (Hb F) levels in patients with thalassemia intermedia.,Hydroxyurea,increase fetal hemoglobin,"{'drug': {'start_char': array([0], dtype=int32), 'end_char': array([11], dtype=int32)}, 'effect': {'start_char': array([68], dtype=int32), 'end_char': array([93], dtype=int32)}}",1
"A 62-year-old woman who was being treated for squamous cell carcinoma of the head and neck developed a chemotherapy-related hemolytic-uremic syndrome during the second cycle of neoadjuvant chemotherapy consisting of cisplatin, bleomycin, and methotrexate.",bleomycin,carcinoma,0,0
We report a case of noncardiogenic pulmonary edema developed after therapeutic trial of EO as sclerosing agent for esophageal varix.,EO,noncardiogenic pulmonary edema,"{'drug': {'start_char': array([88], dtype=int32), 'end_char': array([90], dtype=int32)}, 'effect': {'start_char': array([20], dtype=int32), 'end_char': array([50], dtype=int32)}}",1
A patient with severe cholestatic jaundice induced by captopril is presented.,captopril,severe cholestatic jaundice,"{'drug': {'start_char': array([54], dtype=int32), 'end_char': array([63], dtype=int32)}, 'effect': {'start_char': array([15], dtype=int32), 'end_char': array([42], dtype=int32)}}",1
"The potential development of SJS/TEN, a severe life-threatening illness, emphasizes the need for judicious use of TMP-Sx and close monitoring and follow-up for patients who were given TMP-Sx for SSTIs.",TMP-Sx,SJS,"{'drug': {'start_char': array([114, 184], dtype=int32), 'end_char': array([120, 190], dtype=int32)}, 'effect': {'start_char': array([29], dtype=int32), 'end_char': array([32], dtype=int32)}}",1
RESULTS: A previously healthy 42-year-old woman presented with acute-onset delirium with psychotic features as a consequence of levofloxacin therapy.,levofloxacin,acute-onset delirium with psychotic features,"{'drug': {'start_char': array([128], dtype=int32), 'end_char': array([140], dtype=int32)}, 'effect': {'start_char': array([63], dtype=int32), 'end_char': array([107], dtype=int32)}}",1
OBJECTIVES: The authors described a case of Hashimoto's disease during interferon-alpha (IFN-alpha) treatment for chronic viral C hepatitis in a patient with the specific genetic susceptibility associated with the thyroid disease.,interferon,hepatitis,0,0
We describe a continuous ambulatory peritoneal dialysis (CAPD) patient that developed vancomycin-induced agranulocytosis during treatment for methicillin-resistant Staphylococcus aureus (MRSA)-associated external cuff infection and pneumonia.,methicillin,pneumonia,0,0
Secondary hyperparathyroidism in certain patients with lithium nephrotoxicity is also possible.,lithium,Secondary hyperparathyroidism,"{'drug': {'start_char': array([55], dtype=int32), 'end_char': array([62], dtype=int32)}, 'effect': {'start_char': array([0], dtype=int32), 'end_char': array([29], dtype=int32)}}",1
We report such a series of patients who had transient asymptomatic bradycardia after being treated with continuous infusion 5-FU.,5-FU,transient asymptomatic bradycardia,"{'drug': {'start_char': array([124], dtype=int32), 'end_char': array([128], dtype=int32)}, 'effect': {'start_char': array([44], dtype=int32), 'end_char': array([78], dtype=int32)}}",1
METHODS: A 68-year-old man developed intense conjunctival hyperemia and cystoid macula edema after switching from latanoprost to bimatoprost 9 months after cataract surgery in an eye at low-risk for this cystoid macular edema.,latanoprost,intense conjunctival hyperemia,"{'drug': {'start_char': array([114], dtype=int32), 'end_char': array([125], dtype=int32)}, 'effect': {'start_char': array([37], dtype=int32), 'end_char': array([67], dtype=int32)}}",1
"The reversal of heparin by protamine may cause severe hemodynamic deterioration, characterized by systemic hypotension, pulmonary hypertension, and bronchoconstriction.",heparin,hypertension,0,0
"We present the case of a patient who had undergone cholecystectomy previously, but in whom morphine given in the Emergency Department precipitated pain consistent with biliary colic; the pain resolved promptly after administration of naloxone.",naloxone,pain,0,0
"METHODS: The patient required insulin desensitization for severe urticaria, angioedema, and occasional wheezing resulting from her insulin dose.",insulin,wheezing,"{'drug': {'start_char': array([ 30, 131], dtype=int32), 'end_char': array([ 37, 138], dtype=int32)}, 'effect': {'start_char': array([103], dtype=int32), 'end_char': array([111], dtype=int32)}}",1
Atypical ventricular tachycardia (torsade de pointes) induced by amiodarone: arrhythmia previously induced by quinidine and disopyramide.,disopyramide,arrhythmia,"{'drug': {'start_char': array([124], dtype=int32), 'end_char': array([136], dtype=int32)}, 'effect': {'start_char': array([77], dtype=int32), 'end_char': array([87], dtype=int32)}}",1
CONCLUSION: This report describes a case of a probable interaction between topical econazole lotion 1% and acenocoumarol that resulted in overanticoagulation and a life-threatening laryngeal hematoma in this elderly patient.,acenocoumarol,overanticoagulation,0,0
"We cared for a patient with progressive renal impairment who presented with blurred vision, QRS broadening and cardiac failure due to chronic cibenzoline intoxication.",cibenzoline,QRS broadening,"{'drug': {'start_char': array([142], dtype=int32), 'end_char': array([153], dtype=int32)}, 'effect': {'start_char': array([92], dtype=int32), 'end_char': array([106], dtype=int32)}}",1
Fulminant hepatic failure developed in a 24-year-old black woman who had been treated with propylthiouracil and propranolol for hyperthyroidism.,propylthiouracil,hyperthyroidism,0,0
"A patient presented with a painful, oedematous, cyanosed hand having injected a solution of diamorphine and methylphenidate into his radial artery.",methylphenidate,"painful, oedematous, cyanosed hand","{'drug': {'start_char': array([108], dtype=int32), 'end_char': array([123], dtype=int32)}, 'effect': {'start_char': array([27], dtype=int32), 'end_char': array([61], dtype=int32)}}",1
"A 14-year-old female developed systemic lupus erythematosus (SLE)-like symptoms, rash, fever, leukopenia and positive anti-nuclear antibody (ANA) two weeks after administration of carbamazepine (CBZ; Tegretol) used against benign Rolandic epilepsy.",CBZ,leukopenia,"{'drug': {'start_char': array([195], dtype=int32), 'end_char': array([198], dtype=int32)}, 'effect': {'start_char': array([94], dtype=int32), 'end_char': array([104], dtype=int32)}}",1
"CONCLUSIONS: Optic neuritis in combination with other neurological signs, simulating multiple sclerosis, should be included in the list of adverse effects of recombinant and natural interferon alpha administration.",interferon alpha,Optic neuritis,"{'drug': {'start_char': array([182], dtype=int32), 'end_char': array([198], dtype=int32)}, 'effect': {'start_char': array([13], dtype=int32), 'end_char': array([27], dtype=int32)}}",1
Two patients with extrinsic asthma and coexistent insulin-dependent diabetes mellitus sustained an anaphylactoid reaction after the intravenous administration of 50% solution of dextrose.,insulin,diabetes,0,0
A 61-year-old man with early diffuse cutaneous scleroderma with myositis and progressive interstitial pneumonia developed generalized erythema with high fever 3 weeks after taking sulfamethoxazole/trimethoprim.,trimethoprim,myositis,0,0
Theophylline intoxication following viloxazine induced decrease in clearance.,Theophylline,Theophylline intoxication,"{'drug': {'start_char': array([0], dtype=int32), 'end_char': array([12], dtype=int32)}, 'effect': {'start_char': array([0], dtype=int32), 'end_char': array([25], dtype=int32)}}",1
"The authors describe a case of combined lithium and haloperidol toxicity characterized by hyperpyrexia, severe rigidity, mutism, and development of irreversible tardive dyskinesia.",lithium,toxicity,0,0
Hypertension develops in most patients after transplantation when immunosuppression is based on cyclosporine and prednisone.,prednisone,immunosuppression,0,0
"Second, we report a case of neutropenia, which proved to be fatal in a schizophrenia patient receiving olanzapine and thiazide.",thiazide,schizophrenia,0,0
"CASE SUMMARY: A 57-year-old female with cardiomyopathy and ""sulfa"" (trimethoprim/sulfamethoxazole) allergy documented as pancreatitis presented with symptoms consistent with pancreatitis after use of furosemide.",trimethoprim,cardiomyopathy,0,0
Cutaneous sarcoidosis during interferon alfa and ribavirin treatment of hepatitis C virus infection: two cases.,ribavirin,hepatitis,0,0
Transient cardiac arrhythmias related to lopinavir/ritonavir in two patients with HIV infection.,lopinavir,infection,0,0
"The cause of these previously unreported side effects of niacin therapy is uncertain but may be related to prostaglandin-mediated vasodilatation, hyperalgesia of sensory nerve receptors, and potentiation of inflammation in the gingiva with referral of pain to the teeth.",prostaglandin,pain,0,0
"Fatal lung fibrosis caused by paclitaxel toxicity has not been reported In this report, we describe the case of a 62-year-old woman who received six cycles of paclitaxel and carboplatin as combination chemotherapy for advanced ovarian cancer.",paclitaxel,toxicity,0,0
Mechanisms and triggering factors of hypoglycaemia induced by mefloquine and some other anti-malarial quinine analogues are discussed.,mefloquine,hypoglycaemia,"{'drug': {'start_char': array([62], dtype=int32), 'end_char': array([72], dtype=int32)}, 'effect': {'start_char': array([37], dtype=int32), 'end_char': array([50], dtype=int32)}}",1
"A second possibility is an interaction between clarithromycin and isradipine, potentially increasing the hepatic toxicity of isradipine.",isradipine,interaction,0,0
Complications of chemotherapy for a synovial sarcoma in an eight-year old boy included cisplatinum nephrotoxicity and adriamycin cardiotoxicity.,adriamycin,sarcoma,0,0
"Amphotericin B (AmB) is effective, but its use is limited by toxicity: renal impairment, anaemia, fever, malaise, and hypokalaemia are common.",Amphotericin B,renal impairment,"{'drug': {'start_char': array([0], dtype=int32), 'end_char': array([14], dtype=int32)}, 'effect': {'start_char': array([71], dtype=int32), 'end_char': array([87], dtype=int32)}}",1
"We report a 43-year-old woman who developed sore throat, swelling of the lips and oral cavity and dysphagia, 2 weeks after the use of budesonide spray (Budefat) for treatment of bronchial asthma.",budesonide,asthma,0,0
"Exposure of the fetus to indomethacin by administration of the drug to the mother may cause many side effects, including premature closure of the ductus arteriosus.",indomethacin,premature closure of the ductus arteriosus,"{'drug': {'start_char': array([25], dtype=int32), 'end_char': array([37], dtype=int32)}, 'effect': {'start_char': array([121], dtype=int32), 'end_char': array([163], dtype=int32)}}",1
A 53-year-old man developed lower leg edema 4 weeks after rosiglitazone was increased from 4 mg once/day to 4 mg twice/day.,rosiglitazone,lower leg edema,"{'drug': {'start_char': array([58], dtype=int32), 'end_char': array([71], dtype=int32)}, 'effect': {'start_char': array([28], dtype=int32), 'end_char': array([43], dtype=int32)}}",1
"DIAGNOSIS: Severe temozolomide-induced immunosuppression, exacerbated by corticosteroids, with profound T-cell lymphocytopenia and simultaneous opportunistic infections with Pneumocystis jiroveci pneumonia, brain abscess with Listeria monocytogenes, and cutaneous Kaposi's sarcoma.",corticosteroids,sarcoma,0,0
"Extrapyramidal side effects induced by some selective serotonin reuptake inhibitors (SSRIs), i.e. fluoxetine and sertraline, have been previously reported in patients with depression and obsessive-compulsive disorder (OCD).",fluoxetine,depression,0,0
"A fatal pancytopenia occurred in a patient with an history of depression with hypomanic rebounds, admitted for a manic episode and treated with levomepromazine, diazepam and lithium carbonate.",lithium,hypomanic,0,0
"BACKGROUND: Fluoxetine, a highly specific serotonin reuptake inhibitor, has been reported to cause sexual dysfunction in a minority of patients.",Fluoxetine,sexual dysfunction,"{'drug': {'start_char': array([12], dtype=int32), 'end_char': array([22], dtype=int32)}, 'effect': {'start_char': array([99], dtype=int32), 'end_char': array([117], dtype=int32)}}",1
"Torsades de Pointes induced by a combination of garenoxacin and disopyramide and other cytochrome P450, family 3, subfamily A polypeptide-4-influencing drugs during hypokalemia due to licorice.",garenoxacin,hypokalemia,0,0
OBSERVATIONS: A 48-year-old woman presented with disfiguring facial edema 10 weeks after she began antiviral therapy with peginterferon alfa-2a and ribavirin for chronic hepatitis C infection.,ribavirin,infection,0,0
"A 64 year old man with recurrent metastatic squamous cell carcinoma of the head and neck developed severe skin rash and bone marrow aplasia 4 and 7 days, respectively, following a single dose of 40 mg/m2 methotrexate (MTX).",methotrexate,carcinoma,0,0
Epstein-Barr virus-associated lymphoproliferative disorder in a patient with rheumatoid arthritis on methotrexate and rofecoxib: idiosyncratic reaction or pharmacogenetics?,rofecoxib,arthritis,0,0
"BACKGROUND: To assess the nature, incidence, and risk factors of retinopathy associated with pegylated interferon and ribavirin combination therapy in chronic hepatitis C patients.",ribavirin,hepatitis,0,0
An encephalopathy and cardiomyopathy developed in a seventeen-year-old girl with chemotherapy-induced renal failure while receiving an intravesical aluminum infusion for hemorrhagic cystitis.,aluminum,encephalopathy,"{'drug': {'start_char': array([148], dtype=int32), 'end_char': array([156], dtype=int32)}, 'effect': {'start_char': array([3], dtype=int32), 'end_char': array([17], dtype=int32)}}",1
Establishment of diuresis with fluids and IV administration of calcium may provide successful treatment of magnesium toxicosis in horses.,magnesium,magnesium toxicosis,"{'drug': {'start_char': array([107], dtype=int32), 'end_char': array([116], dtype=int32)}, 'effect': {'start_char': array([107], dtype=int32), 'end_char': array([126], dtype=int32)}}",1
This represents the first report of nonconvulsive status epilepticus induced by ifosfamide.,ifosfamide,nonconvulsive status epilepticus,"{'drug': {'start_char': array([80], dtype=int32), 'end_char': array([90], dtype=int32)}, 'effect': {'start_char': array([36], dtype=int32), 'end_char': array([68], dtype=int32)}}",1
"A 36-year-old man being treated with cisplatinum, vinblastine, and bleomycin for testicular carcinoma developed a dense left homonymous hemianopsia, encephalopathy, and a partial nondominant parietal lobe syndrome.",vinblastine,carcinoma,0,0
"Vancomycin is widely used against methicillin-resistant Staphylococcus aureus infections, but it is associated with many adverse effects such as nephrotoxicity, ototoxicity, gastrointestinal disturbances, blood disorders, and two types of hypersensitivity reactions - an anaphylactoid reaction known as ""red man syndrome"" and anaphylaxis.",Vancomycin,red man syndrome,"{'drug': {'start_char': array([0], dtype=int32), 'end_char': array([10], dtype=int32)}, 'effect': {'start_char': array([304], dtype=int32), 'end_char': array([320], dtype=int32)}}",1
The present report illustrates a rare case of refractory akathisia after interferon-alpha treatment and also that levodopa treatment would be theoretically and practically useful in reducing the neurotoxicity associated with interferon-alpha.,levodopa,akathisia,0,0
Azathioprine-induced myelosuppression due to thiopurine methyltransferase deficiency in a patient with autoimmune hepatitis.,thiopurine,hepatitis,0,0
Gold nephropathy due to auranofin obscured by tolmetin pseudoproteinuria.,tolmetin,pseudoproteinuria,"{'drug': {'start_char': array([46], dtype=int32), 'end_char': array([54], dtype=int32)}, 'effect': {'start_char': array([55], dtype=int32), 'end_char': array([72], dtype=int32)}}",1
"This patient developed sequential symptoms including alternative hemiparesis, dysarthria and altered consciousness 5 days after the second course of HD-MTX (8 gm/m2 by 6 h continuous infusion) with leucovorin rescue.",HD-MTX,hemiparesis,"{'drug': {'start_char': array([149], dtype=int32), 'end_char': array([155], dtype=int32)}, 'effect': {'start_char': array([65], dtype=int32), 'end_char': array([76], dtype=int32)}}",1
"The authors report two cases of delayed elimination of methotrexate in patients receiving ciprofloxacin, with severe toxicity.",methotrexate,toxicity,0,0
Ballistic movements due to ischemic infarcts after intravenous heroin overdose: report of two cases.,heroin,Ballistic movements,"{'drug': {'start_char': array([63], dtype=int32), 'end_char': array([69], dtype=int32)}, 'effect': {'start_char': array([0], dtype=int32), 'end_char': array([19], dtype=int32)}}",1
Red blood cell anemia in a patient with pemphigus vulgaris induced by the use of mycophenolate mofetil and prednisone.,prednisone,pemphigus,0,0
"The cause of these previously unreported side effects of niacin therapy is uncertain but may be related to prostaglandin-mediated vasodilatation, hyperalgesia of sensory nerve receptors, and potentiation of inflammation in the gingiva with referral of pain to the teeth.",prostaglandin,inflammation,0,0
"CONCLUSIONS: Topiramate may be associated with ciliochoroidal effusion with forward displacement of the lens-iris diaphragm and anterior chamber shallowing, resulting in acute myopia and angle-closure glaucoma.",Topiramate,acute myopia,"{'drug': {'start_char': array([13], dtype=int32), 'end_char': array([23], dtype=int32)}, 'effect': {'start_char': array([170], dtype=int32), 'end_char': array([182], dtype=int32)}}",1
"We present a case of acute epinephrine toxicity resulting in acute myocardial ischemia in a young boy with combined variable immunodeficiency syndrome who developed severe allergic reaction to intravenous immunoglobulin, and was subsequently given epinephrine by mistake intravenously rather than subcutaneously.",immunoglobulin,toxicity,0,0
Acute non-lymphocytic leukemia occurred in eight women following long-term treatment with Treosulfan (= dihydroxybusulfan) for ovarian carcinoma.,dihydroxybusulfan,carcinoma,0,0
A patient developed optic neuropathy while being treated with isoniazid and ethambutol.,isoniazid,optic neuropathy,"{'drug': {'start_char': array([62], dtype=int32), 'end_char': array([71], dtype=int32)}, 'effect': {'start_char': array([20], dtype=int32), 'end_char': array([36], dtype=int32)}}",1
"This report suggests that anemia can occur due to MMF, in particular when it is given with prednisone, a side effect well documented in the transplantation literature when the triple combination of MMF, cyclosporine and prednisone is used.",prednisone,cyclosporine,0,0
Osteonecrosis is a serious side effect of antiemetic treatment with dexamethasone and this serious complication should be incorporated in the current guidelines.,dexamethasone,Osteonecrosis,"{'drug': {'start_char': array([68], dtype=int32), 'end_char': array([81], dtype=int32)}, 'effect': {'start_char': array([0], dtype=int32), 'end_char': array([13], dtype=int32)}}",1
Symptomatic hypoglycemia secondary to a glipizide-trimethoprim/sulfamethoxazole drug interaction.,sulfamethoxazole,interaction,0,0
"A 66-year-old Japanese woman with severe scleroderma developed anemia and thrombocytopenia due to D-penicillamine (D-Pen) treatment, although the leukopenia was not markedly severe.",penicillamine,scleroderma,0,0
"The toxicity and plasma concentrations of ifosfamide, chloroacetaldehyde, and 4-hydroxyifosfamide were then determined over 24 h after a single 1.6 g/m2 dose of ifosfamide.",chloroacetaldehyde,ifosfamide,0,0
"This patient developed sequential symptoms including alternative hemiparesis, dysarthria and altered consciousness 5 days after the second course of HD-MTX (8 gm/m2 by 6 h continuous infusion) with leucovorin rescue.",leucovorin,hemiparesis,0,0
"The reversal of heparin by protamine may cause severe hemodynamic deterioration, characterized by systemic hypotension, pulmonary hypertension, and bronchoconstriction.",heparin,bronchoconstriction,0,0
In one instance a systemic hypoglycemic reaction resulting in head trauma and confusion ended in an emegency hospital admission following the substitution of acetohexamide for acetazolamide.,acetazolamide,confusion,0,0
"OBJECTIVE: To report a case of serotonin syndrome associated with interaction between fentanyl and citalopram, as evidenced by medication history, clinical features and reversal following discontinuation of fentanyl.",fentanyl,serotonin syndrome,"{'drug': {'start_char': array([ 86, 207], dtype=int32), 'end_char': array([ 94, 215], dtype=int32)}, 'effect': {'start_char': array([31], dtype=int32), 'end_char': array([49], dtype=int32)}}",1
"Diarrhoea, T-CD4+ lymphopenia and bilateral patchy pulmonary infiltrates developed in a male 60 yrs of age, who was treated with oxaliplatinum and 5-fluorouracil for unresectable rectum carcinoma.",oxaliplatinum,Diarrhoea,"{'drug': {'start_char': array([129], dtype=int32), 'end_char': array([142], dtype=int32)}, 'effect': {'start_char': array([0], dtype=int32), 'end_char': array([9], dtype=int32)}}",1
AIM: Report of a case of a woman patient who developed celiac disease after pegylated interferon alpha-2a and ribavirin use for chronic hepatitis C.,pegylated interferon alpha-2a,celiac disease,"{'drug': {'start_char': array([76], dtype=int32), 'end_char': array([105], dtype=int32)}, 'effect': {'start_char': array([55], dtype=int32), 'end_char': array([69], dtype=int32)}}",1
A previous review described data on 15 patients who experienced acute hemoglobinemia or hemoglobinuria following anti-D IGIV administration for ITP or secondary thrombocytopenia.,anti-D IGIV,acute hemoglobinemia,"{'drug': {'start_char': array([113], dtype=int32), 'end_char': array([124], dtype=int32)}, 'effect': {'start_char': array([64], dtype=int32), 'end_char': array([84], dtype=int32)}}",1
"Elderly patients for whom nitrate has been prescribed should be warned of the occurrence of hypotension, leading to unconsciousness.",nitrate,hypotension,"{'drug': {'start_char': array([26], dtype=int32), 'end_char': array([33], dtype=int32)}, 'effect': {'start_char': array([92], dtype=int32), 'end_char': array([103], dtype=int32)}}",1
"Several hypersensitivity reactions to cloxacillin have been reported, although IgE-mediated allergic reactions to the drug are rare and there is little information about possible tolerance to other semisynthetic penicillins or cephalosporins in patients with cloxacillin allergy.",cephalosporins,hypersensitivity,0,0
"We experienced a male patient with psoriasis and hypertension whose conditions were treated with tacalcitol ointment and thiazide, respectively, resulting in hypercalciuria and hypercalcemia.",thiazide,psoriasis,0,0
Leukopenia due to parvovirus B19 in a Crohn's disease patient using azathioprine.,azathioprine,Leukopenia,"{'drug': {'start_char': array([68], dtype=int32), 'end_char': array([80], dtype=int32)}, 'effect': {'start_char': array([0], dtype=int32), 'end_char': array([10], dtype=int32)}}",1
"CONCLUSIONS: This report indicates clindamycin phosphate vaginal cream as the most probable cause of CDIC due to the temporal relationship between the occurrence of diarrhea and clindamycin administration, lack of concomitant medications, and documentation of C. difficile toxin.",clindamycin phosphate,C. difficile toxin,"{'drug': {'start_char': array([35], dtype=int32), 'end_char': array([56], dtype=int32)}, 'effect': {'start_char': array([260], dtype=int32), 'end_char': array([278], dtype=int32)}}",1
The use of beclomethasone diproprionate inhaler complicated by the development of an eosinophilic pneumonia reaction.,beclomethasone diproprionate,eosinophilic pneumonia reaction,"{'drug': {'start_char': array([11], dtype=int32), 'end_char': array([39], dtype=int32)}, 'effect': {'start_char': array([85], dtype=int32), 'end_char': array([116], dtype=int32)}}",1
We report a case of a patient with mild chronic renal insufficiency who had been taking simvastatin for over a year and developed acute weakness within 3 weeks after the start of treatment with colchicine for acute gouty bursitis.,simvastatin,bursitis,0,0
"A 50-year-old diabetic and hypertensive male patient is reported who had ticlopidine-induced marrow aplasia partially responsive to colony-stimulating factors and corticosteroids, but experienced complete recovery with cyclosporine.",corticosteroids,cyclosporine,0,0
A 61-year-old man with early diffuse cutaneous scleroderma with myositis and progressive interstitial pneumonia developed generalized erythema with high fever 3 weeks after taking sulfamethoxazole/trimethoprim.,sulfamethoxazole,pneumonia,0,0
We describe a patient with the antiphospholipid syndrome who had skin necrosis develop from low-molecular weight heparin therapy at sites distant from injection sites.,low-molecular weight heparin,skin necrosis,"{'drug': {'start_char': array([92], dtype=int32), 'end_char': array([120], dtype=int32)}, 'effect': {'start_char': array([65], dtype=int32), 'end_char': array([78], dtype=int32)}}",1
"The possibility of phenytoin hypersensitivity reactions should be considered when patients receiving phenytoin have unusual symptoms, particularly fever, rash, and lymphadenopathy.",phenytoin,rash,"{'drug': {'start_char': array([ 19, 101], dtype=int32), 'end_char': array([ 28, 110], dtype=int32)}, 'effect': {'start_char': array([154], dtype=int32), 'end_char': array([158], dtype=int32)}}",1
"Oncologists supervising future clinical trials for lung cancer should be alert to the fact that sorafenib can potentially induce serious interstitial lung disease, although this might depend on racial differences.",sorafenib,interstitial lung disease,"{'drug': {'start_char': array([96], dtype=int32), 'end_char': array([105], dtype=int32)}, 'effect': {'start_char': array([137], dtype=int32), 'end_char': array([162], dtype=int32)}}",1
Acceleration of ventricular response to atrial flutter after intravenous adenosine.,adenosine,Acceleration of ventricular response,"{'drug': {'start_char': array([73], dtype=int32), 'end_char': array([82], dtype=int32)}, 'effect': {'start_char': array([0], dtype=int32), 'end_char': array([36], dtype=int32)}}",1
"METHODS: The patient required insulin desensitization for severe urticaria, angioedema, and occasional wheezing resulting from her insulin dose.",insulin,wheezing,"{'drug': {'start_char': array([ 30, 131], dtype=int32), 'end_char': array([ 37, 138], dtype=int32)}, 'effect': {'start_char': array([103], dtype=int32), 'end_char': array([111], dtype=int32)}}",1
We hypothesize that decreased renal elimination of MTX induced by the COX-2 inhibitor resulted in enhanced hematopoietic toxicity and immunosuppression causing the EBV-associated lymphoproliferative disease.,MTX,hematopoietic toxicity,"{'drug': {'start_char': array([51], dtype=int32), 'end_char': array([54], dtype=int32)}, 'effect': {'start_char': array([107], dtype=int32), 'end_char': array([129], dtype=int32)}}",1
Well-known signs of methotrexate toxicity include bone marrow suppression and oral and gastrointestinal ulceration.,methotrexate,methotrexate toxicity,"{'drug': {'start_char': array([20], dtype=int32), 'end_char': array([32], dtype=int32)}, 'effect': {'start_char': array([20], dtype=int32), 'end_char': array([41], dtype=int32)}}",1
Epstein-Barr virus-associated lymphoproliferative disorder in a patient with rheumatoid arthritis on methotrexate and rofecoxib: idiosyncratic reaction or pharmacogenetics?,methotrexate,arthritis,0,0
Scleromyxedema in a patient with multiple sclerosis and monoclonal gammopathy on interferon beta-1a.,interferon beta-1a,Scleromyxedema,"{'drug': {'start_char': array([81], dtype=int32), 'end_char': array([99], dtype=int32)}, 'effect': {'start_char': array([0], dtype=int32), 'end_char': array([14], dtype=int32)}}",1
A teenage girl with crescentic glomerulonephritis had antineutrophil cytoplasmic antibody (ANCA) detected after she had received propylthiouracil (PTU) for hyperthyroidism without cutaneous vasculitis.,propylthiouracil,glomerulonephritis,0,0
"Ticlopidine-induced aplastic anemia: two new case reports, review, and meta-analysis of 55 additional cases.",Ticlopidine,aplastic anemia,"{'drug': {'start_char': array([0], dtype=int32), 'end_char': array([11], dtype=int32)}, 'effect': {'start_char': array([20], dtype=int32), 'end_char': array([35], dtype=int32)}}",1
"After an extensive review of the literature, we believe that this is the first communication of the successful use of amiodarone to control hyperthyroidism in a patient with PTU-induced fulminant hepatitis.",amiodarone,hyperthyroidism,0,0
Neonatal mydriasis: intravenous lidocaine adverse reaction.,lidocaine,mydriasis,"{'drug': {'start_char': array([32], dtype=int32), 'end_char': array([41], dtype=int32)}, 'effect': {'start_char': array([9], dtype=int32), 'end_char': array([18], dtype=int32)}}",1
We present a case of ethylenediamine-induced delayed hypersensitivity reaction in a 46-year-old woman who received parenteral aminophylline for an acute asthma exacerbation.,aminophylline,asthma,0,0
